1,652,M75S_5_APH_REV1,67830009A5,20260707,074024,F,0,1,,FPPFPPPPPPNN,1,F,3,20260707,074016,0,,,0,0

 1924, CFAN13,    10.00pF,   300.00pF,  20.0,  20.0, 2, C, 576, 1442, A1, 396.2318036pF, 1
 2629, DFAN8:2-1,    0.337V ,    0.337V ,  10.0,  10.0, 0, D, 1131, 560, A1, 0.2910473V , 1
 2630, DFAN8:3-1,    0.337V ,    0.337V ,  10.0,  10.0, 0, D, 1132, 560, A1, 0.2913007V , 1
