1,26,IPS5_RYZEN5,67830023XE,20260724,163232,F,0,1,,FPPFPPPPPPNN,1,F,4,20260724,163157,0,,,0,0

 663, PC16849,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1147.6180579uF, 1
 664, PC16850,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1147.3848474uF, 1
 665, PC16851,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1147.8370649uF, 1
 666, PC16852,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1147.3807802uF, 1
 667, PC16853,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1148.1992033uF, 1
 668, PC16854,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1148.4969753uF, 1
 669, PC16855,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1148.9793662uF, 1
 670, PC16856,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.8997720uF, 1
 671, PC16857,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.8696251uF, 1
 672, PC16858,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.8071206uF, 1
 673, PC16859,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.8798098uF, 1
 675, PC16861,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.1264473uF, 1
 679, PC16865,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.7976108uF, 1
 680, PC16866,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.9420335uF, 1
 681, PC16867,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.5496715uF, 1
 682, PC16868,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.5625718uF, 1
 683, PC16869,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.8997682uF, 1
 684, PC16870,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.7687354uF, 1
 685, PC16871,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.4335243uF, 1
 686, PC16872,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.0822814uF, 1
 687, PC16873,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.3819086uF, 1
 688, PC16874,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.3187451uF, 1
 689, PC16875,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.2759619uF, 1
 690, PC16876,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.3445551uF, 1
 691, PC16877,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.0369243uF, 1
 692, PC16878,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.1836033uF, 1
 693, PC16879,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.2969689uF, 1
 695, PC16881,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.8610757uF, 1
 696, PC16882,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1149.8488498uF, 1
 698, PC16884,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1150.8003310uF, 1
 700, PC16886,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.1543044uF, 1
 701, PC16887,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.2460409uF, 1
 702, PC16888,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.5695321uF, 1
 703, PC16889,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.8108363uF, 1
 705, PC16890,     10.0uF,   1700.0uF,  30.0,  30.0, 9, C, 587, 171, A1, 1151.4675844uF, 1
