1,185,IPS3_15IRH_I513420,6783000K3V,20260708,083056,F,0,1,,FPFFPPPPPPNN,1,F,4,20260708,083047,0,,,0,0,8.80 sec

 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 99999.9000000uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 99999.9000000uF, 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 99999.9000000uF, 1

Short <  40   51   52   53   56   62  577  717 >-LV5116B_VSYS -> Parts:PU1600.6 < 119  321  605  623  658  727  729  743 >-VCCIN_AUX_VSSSENSE_CPU -> Parts:RSHORT47
