1,15,N30S5_i3,6783000RUZ,20260713,100232,F,0,1,,FFPFFPPPPPNN,1,F,0,20260713,100225,0,,,0,0

 2611, AU1_18_1,    0.700V ,    0.700V ,  85.0,  71.0, 24, U, 781, 942, B2, 2.0442244V , 1
 2615, AU1_40_1,    0.643V ,    0.643V ,  90.0,  68.0, 24, U, 932, 942, B2, 1.9903334V , 1
 2616, AU1_44_1,    0.949V ,    0.968V ,  34.0,  79.0, 24, U, 935, 942, B2, 2.3120743V , 1
 2627, PU100_17_49,    0.427V ,    0.427V ,  90.0,  53.0, 24, U, 429, 125, B2, 1.7707995V , 1
 2628, PU100_18_49,    0.430V ,    0.430V ,  90.0,  53.0, 24, U, 429, 164, B2, 1.7749385V , 1
 2629, PU100_19_49,    0.430V ,    0.430V ,  90.0,  53.0, 24, U, 429, 121, B2, 1.7751919V , 1
 2643, PU100_14_46/,    0.609V ,    0.609V ,  90.0,  67.0, 24, U, 170, 168, B2, 1.9549411V , 1
 2647, PU100_38_46/,    0.601V ,    0.601V ,  90.0,  66.0, 24, U, 163, 168, B2, 1.9457340V , 1
 2648, PU100_44_46,    1.276V ,    1.078V ,  20.0,  81.0, 24, U, 154, 168, B2, 2.4249243V , 1
 2649, PU100_45_46/,    0.602V ,    0.602V ,  90.0,  66.0, 24, U, 165, 168, B2, 1.9470010V , 1
 2663, VU501_24_41,    0.718V ,    0.718V ,  80.0,  72.0, 24, U, 429, 279, B2, 2.0639900V , 1
 2664, VU501_25_41,    0.720V ,    0.720V ,  80.0,  72.0, 24, U, 429, 277, B2, 2.0638211V , 1
 2667, VU501_29_41,    0.683V ,    0.683V ,  90.0,  70.0, 24, U, 429, 276, B2, 2.0302026V , 1
 2690, VU501_29_21,    1.017V ,    1.017V ,  27.0,  80.0, 24, U, 276, 274, B2, 2.3637691V , 1
 2700, XMM1_41_9/,    0.800V ,    0.800V ,  62.0,  75.0, 24, U, 429, 1074, A1, 2.1471916V , 1
 2702, XMM1_80_9,    0.373V ,    0.373V ,  90.0,  46.0, 24, U, 429, 598, A1, 1.7177533V , 1
 2708, XMM1_134_9,    1.049V ,    1.049V ,  23.0,  80.0, 24, U, 429, 19, A1, 2.3967118V , 1
 2712, XMM1_221_9,    0.373V ,    0.373V ,  90.0,  46.0, 24, U, 429, 580, A1, 1.7180911V , 1
 2720, XMM1_41_1/,    1.008V ,    1.008V ,  28.0,  80.0, 24, U, 1074, 1114, A1, 2.3537173V , 1
 2721, XMM1_80_1,    0.815V ,    0.466V ,  90.0,  57.0, 24, U, 598, 1114, A1, 1.8114289V , 1
 2730, XMM1_221_1,    0.840V ,    0.840V ,  54.0,  76.0, 24, U, 580, 1114, A1, 2.1870608V , 1
 2744, XMM2_134_9,    0.366V ,    0.366V ,  90.0,  45.0, 24, U, 429, 586, A1, 1.7126852V , 1
 2769, XMM2_134_1,    0.696V ,    0.696V ,  86.0,  71.0, 24, U, 586, 1114, A1, 2.0457448V , 1
 2843, XJ300_26_1,    0.953V ,    0.702V ,  85.0,  71.0, 24, U, 1010, 429, A1, 2.0502216V , 1
 2890, REU1_14_3,    0.731V ,    0.731V ,  77.0,  72.0, 24, U, 429, 855, A1, 2.0791099V , 1
 2904, REU1_28_13,    0.696V ,    0.696V ,  86.0,  71.0, 24, U, 1300, 854, A1, 2.0457448V , 1
 2908, XJ500_17_1,    0.478V ,    0.478V ,  90.0,  58.0, 24, U, 429, 761, A1, 1.8252818V , 1
 2919, XJ500_60_1,    0.985V ,    0.985V ,  32.0,  79.0, 24, U, 429, 747, A1, 2.3327691V , 1
 2923, XJ500_17_2,    0.982V ,    0.982V ,  32.0,  79.0, 24, U, 761, 1132, A1, 2.3293903V , 1
 2934, XJ500_60_2,    1.011V ,    1.011V ,  28.0,  80.0, 24, U, 747, 1132, A1, 2.3588699V , 1

Open < 942> <  34   52  266  274  384  778  942  943 1132 > -> <942>-+3V3_DVDD Parts:AU1.1; <34>-+3V3_PCIEX16 Parts:XJ1.92
Open < 854> <  44   60  240  432  435  854 1021 1058 > -> <854>-+3V3_S5_DRV Parts:REU1.34; <44>-m0039 Parts:XJ1.94
Open < 439> < 114  439 > -> <439>-m0207 Parts:PR665-NP; <114>-m0091 Parts:PR655
Open < 731> < 117  124  163  165  167  170  173  321  324  429  450  573  723  731  770  774  776  777  786  787  789  791  795  829  830  831  832 1000 1025 1116 1117 > -> <731>-m0009 Parts:PR671; <117>-+VCCGT
Open <1253> < 118 1253 > -> <1253>-VIDALERT_ Parts:HR246; <118>-m0118 Parts:XMM2.83
Open <1252> < 119 1252 > -> <1252>-VIDSCK Parts:HR245; <119>-SVID_CLK_CPU Parts:PR125-NC
Open < 746> < 159  405  746 > -> <746>-m0008 Parts:SR115-NP; <159>-m0107 Parts:XMM1.127
Open < 437> < 184  187  437 1123 > -> <437>-m0169 Parts:PR1146-NP; <184>-VCORE_EN_G2 Parts:PR1001-NP
Open < 745> < 198  745 > -> <745>-DDSP_HPDA Parts:VR405-NP; <198>-DP2VGA_HPD Parts:VR405-NP
Open < 245> < 244  245  371  373 > -> <245>-+LAN_CORE_VDD Parts:LU1.37; <244>-+1_0V_LAN_CTRL Parts:LU1.7
Open <1022> < 457 1022 > -> <1022>-CNV_BRI_DT_R Parts:XJ300.28; <457>-CNV_BRI_DT Parts:HR295-NP
Open < 626> < 514  626 > -> <626>-SYS_PWROK Parts:HR220; <514>-PWRGD_170MS Parts:R112-NP
