1,333,IPS3_15IRH_I513420,678300217S,20260724,143830,F,0,2,,FPPFPPPPPPNN,1,F,4,20260724,143817,0,,,0,0,13.79 sec

 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 99999.9000000uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 326045.6723125uF, 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 99999.9000000uF, 1
