// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight
FAIL,1,723,N50Q_5,66830031VV,20260703,223729,F,0,0,,FPPFFPPPPPNN,1,F,0,20260703,223719,0,,,0,0,10.91 sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, HLim, LLim, Mode, Type, HPin, LPin, Loc, Msr_V, Result
 56, JHD1,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 338, 1163, C2, 4.0000000  , 1
 57, LDP11,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 17, 16, F1, 4.0000000  , 1
 58, LL6,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 49, 882, A2, 4.0000000  , 1
 63, LUS3/3_4,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 488, 477, E1, 4.0000000  , 1
 65, LUS5/3_4,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 317, 293, C1, 4.0000000  , 1
 66, LUS5/2_1,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 316, 1011, C1, 4.0000000  , 1
 69, LUS9/3_4,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 306, 303, C1, 4.0000000  , 1
 88, PJ1002,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 18, 986, C5, 4.0000000  , 1
 90, PJ1102,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 961, 959, B1, 4.0000000  , 1
 91, PJ1201,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 21, 3, G3, 4.0000000  , 1
 92, PJ1202,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 21, 3, G3, 4.0000000  , 1
 93, PJ1203,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 21, 3, G6, 4.0000000  , 1
 94, PJ1301,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 641, 23, F6, 4.0000000  , 1
 95, PJ1401,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1167, 776, D6, 4.0000000  , 1
 98, PL201,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 741, 1160, G1, 4.0000000  , 1
 99, PL202,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 741, 1160, F1, 4.0000000  , 1
 100, PL203,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 741, 1160, G1, 4.0000000  , 1
 105, PL409,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1121, 1162, G2, 4.0000000  , 1
 106, PL410,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1121, 1162, G2, 4.0000000  , 1
 107, PL411,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1121, 1162, G2, 4.0000000  , 1
 111, PL703,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 765, 1162, G5, 4.0000000  , 1
 112, PL801,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 967, 1162, C6, 4.0000000  , 1
 113, PL802,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 967, 1162, C6, 4.0000000  , 1
 116, PL901,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1165, 797, C5, 4.0000000  , 1
 117, PL1003,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3, 348, C5, 4.0000000  , 1
 119, PL1201,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1162, 794, G6, 4.0000000  , 1
 121, PR201,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1160, 752, G1, 4.0000000  , 1
 122, PR202,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1160, 754, G1, 4.0000000  , 1
