1,491,V14V15_GEN5_IRL,6783001X9A,20260724,124021,F,1,1,,FPPFPPPPPPNN,1,F,2,20260724,124014,0,,,0,0

 511, RC65,   100.00K ,    90.00K ,  30.0,  50.0, 2, R, 1, 3219, D2, 41.2885088K , 1
 558, RC222,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 1, 264, C4, 66.1107078K , 1
 575, RC344,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 1, 356, D5, 79.6014398K , 1
 611, RN2,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 20, 270, B5, 58.9085002K , 1
