1,269,M75S_5_APH_REV1,6783000DHM,20260708,110300,F,0,1,,FPPFPPPPPPNN,1,F,3,20260708,110250,0,,,0,0

 1239, CUS18/CUS20/CUS24/CUS83,   470.00uF,   470.30uF,  20.0,  20.0, 4, C, 576, 1105, A1, 99999.9000000uF, 1
 1319, CL200,   100.00nF,   180.00nF,  20.0,  20.0, 0, C, 576, 803, A1, 216.7716943nF, 1
 2478, PQ49-DSG,     1.00  ,   125.00  ,  20.0,  20.0, 28, QF, 1010, 576, A1, 23959.7468354  , 1
 2571, UUS9:2-5,    1.000V ,    1.000mA,  20.0,  20.0, 5, D, 576, 1105, A1, 0.5490709mA, 1
 2626, DFAN2:3-1,    0.335V ,    0.335V ,  10.0,  10.0, 0, D, 1101, 560, A1, 0.2978041V , 1
