1,505,V14V15_GEN5_IRL,6783001X9A,20260724,124731,F,0,1,,FPPFPPPPPPNN,1,F,2,20260724,124723,0,,,0,0

 511, RC65,   100.00K ,    90.00K ,  30.0,  50.0, 2, R, 1, 3219, D2, 42.5661845K , 1
 558, RC222,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 1, 264, C4, 66.9575647K , 1
 611, RN2,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 20, 270, B5, 60.3596864K , 1
