1,821,V14V15_GEN5_IRL,6783001SDS,20260723,162244,F,1,1,,FPPFPPPPPPNN,1,F,2,20260723,162236,0,,,0,0

 439, PR5118,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 17, 3218, A2, 67.5342746K , 1
 488, RC7,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 250, 379, D4, 8.7307940K , 1
 510, RC64,    75.00K ,    65.00K ,  30.0,  30.0, 2, R, 1, 77, C4, 41.4412513K , 1
 511, RC65,   100.00K ,    90.00K ,  30.0,  50.0, 2, R, 1, 3219, D2, 39.6996440K , 1
 514, RC71,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 17, 123, D5, 52.2017876K , 1
 518, RC77,    20.00K ,    20.00K ,  10.0,  10.0, 2, R, 1, 226, C4, 17.2491508K , 1
 575, RC344,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 1, 356, D5, 78.4858773K , 1
 633, RPC226/2_3,   100.00K ,   100.00K ,  20.0,  30.0, 2, R, 1, 284, D1, 67.3023951K , 1
