1,293,IPS5_RYZEN5,6783002634,20260725,103217,F,0,1,,FPPFPPPPPPNN,1,F,4,20260725,103151,0,,,0,0

 1011, C12113,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.6113227uF, 1
 1012, C12114,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.6626485uF, 1
 1091, C1270,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.6320855uF, 1
 1092, C1271,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.6642400uF, 1
 1093, C1272,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.6845475uF, 1
 1108, C1288,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.7030124uF, 1
