1,351,IPS5_RYZEN5,6783002634,20260725,110236,F,0,1,,FPPFPPPPPPNN,1,F,4,20260725,110209,0,,,0,0

 1011, C12113,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.3725265uF, 1
 1012, C12114,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.3428724uF, 1
 1091, C1270,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.3486824uF, 1
 1092, C1271,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.4324404uF, 1
 1093, C1272,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.4795473uF, 1
 1108, C1288,    10.00uF,    80.00uF,  30.0,  30.0, 9, C, 587, 182, A1, 113.4286008uF, 1
