1,39,N30S5,6783000Q9F,20260710,093412,F,1,1,,FPPFPPPPPPNN,1,F,4,20260710,093401,0,,,0,0

 1760, XR306,    75.00K ,    60.00K ,  30.0,  30.0, 2, R, 429, 1073, A1, 39.3526481K , 1
 2087, HR217,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 429, 492, A1, 69.2080628K , 1
 2091, HR113,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 429, 1156, A1, 66.2933634K , 1
