1,17,N30S5_i3,6783000RUE,20260713,101106,F,0,1,,FFPFFPPPPPNN,1,F,0,20260713,101059,0,,,0,0

 157, PR1237,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 52, 1132, A1, 4.0000000  , 1
 159, PC1232,    22.00uF,   650.01uF,  80.0,  80.0, 4, C, 52, 429, A1, 99999.0000000uF, 1
 178, PR1229,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 71, 925, A1, 4.0000000  , 1
 179, PR1226,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 71, 925, A1, 4.0000000  , 1
 182, PR1227,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 71, 925, A1, 4.0000000  , 1
 218, PR1257,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 77, 925, A1, 4.0000000  , 1
 219, PR1256,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 77, 925, A1, 4.0000000  , 1
 220, LL3,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 244, 245, A1, 4.0000000  , 1
 227, LR26,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 1058, 248, A1, 2466.3994378K , 1
 241, LR49,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 429, 362, A1, 2466.3994378K , 1
 251, LR14,   249.00  ,   249.00  ,  30.0,  30.0, 2, R, 363, 364, A1, 81390.6377736  , 1
 253, LR18_1,    2.490K ,    2.490K ,  30.0,  30.0, 2, R, 236, 429, A1, 813.9114378K , 1
 258, HR280,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 497, 924, A1, 2466.3994378K , 1
 263, LR46,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 254, 924, A1, 2466.3994378K , 1
 267, LR13,    1.000K ,    1.000K ,  30.0,  30.0, 2, R, 251, 1132, A1, 813.9114378K , 1
 268, LR42,   15.000K ,    1.000K ,  30.0,  30.0, 2, R, 251, 429, A1, 813.9114378K , 1
 270, Q43,  700.000V ,    0.700V ,  30.0,  30.0, 4, Q, 869, 934, A1, 2.0006061V , 1
 273, R562,   330.00  ,   330.00  ,  30.0,  30.0, 2, R, 873, 874, A1, 81390.6377736  , 1
 293, SR324,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 86, 101, A1, 12331.4377736  , 1
 294, SC405,   150.00pF,   260.00pF,  30.0,  30.0, 2, C, 192, 429, A1, 0.0000000pF, 1
 295, SL400,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 192, 66, A1, 4.0000000  , 1
 296, SR322,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 89, 106, A1, 12331.4377736  , 1
 297, SL401,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 191, 67, A1, 4.0000000  , 1
 298, SC406,   150.00pF,   260.00pF,  30.0,  30.0, 2, C, 191, 429, A1, 0.0000000pF, 1
 299, SR317,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 93, 103, A1, 12331.4377736  , 1
 300, SL403,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 221, 65, A1, 4.0000000  , 1
 304, SR319,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 94, 104, A1, 12331.4377736  , 1
 305, SC407,   150.00pF,   260.00pF,  30.0,  30.0, 2, C, 190, 429, A1, 0.2832630pF, 1
 306, SL402,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 190, 220, A1, 4.0000000  , 1
 308, SC401,    22.00uF,    22.00uF,  80.0,  80.0, 0, C, 69, 429, A1, 0.0081069uF, 1
 314, SC304,   180.00pF,   330.00pF,  30.0,  30.0, 2, C, 713, 429, A1, 0.3497520pF, 1
 316, SR303,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 96, 713, A1, 813.9114378K , 1
 317, SC311,   180.00pF,   330.00pF,  90.0,  90.0, 1, C, 429, 105, A1, 0.9335986pF, 1
 323, SR312,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 103, 96, A1, 813.9114378K , 1
 325, SR314,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 100, 96, A1, 813.9114378K , 1
 326, SR311,    2.700K ,    2.700K ,  30.0,  30.0, 2, R, 104, 96, A1, 813.9114378K , 1
