1,911,IPS3_15IRH_I513420,6783001N7B,20260721,193345,F,0,0,,FPPFPPPPPPNN,1,F,4,20260721,193333,0,,,0,0,11.99 sec

 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 9428.9550942uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 183.3065434uF, 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 9843.6006486uF, 1
