1,392,IPS5_RYZEN5,67830025XH,20260725,123234,F,0,1,,FPPFPPPPPPNN,1,F,4,20260725,123207,0,,,0,0

 32, PC1328,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 257.3872000uF, 1
 33, PC1329,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 276.0648776uF, 1
 34, PC1330,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 269.2334728uF, 1
 35, PC1331,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 273.2023529uF, 1
 36, PC1332,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 281.2430126uF, 1
 37, PC1333,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 264.1784770uF, 1
 38, PC1334,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 264.9731765uF, 1
 39, PC1335,    10.00uF,   170.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 266.0480667uF, 1
 1007, C12100,    10.00uF,   130.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 261.1765643uF, 1
 1008, C12101,    10.00uF,   130.00uF,  30.0,  30.0, 4, C, 587, 241, A1, 265.5009000uF, 1
