1,573,V14V15_GEN5_IRL,6783001JEZ,20260722,134046,F,0,1,,FPPFPPPPPPNN,1,F,2,20260722,134038,0,,,0,0

 1208, PQ6205/2_3,    0.700V ,    0.700V ,  30.0,  30.0, 1, Q, 1, 445, H2, 0.9303898V , 1
 1216, QC1/2_3,    0.700V ,    0.700V ,  30.0,  30.0, 1, Q, 311, 307, F4, 2.0378182V , 1
 1217, QC1/3_2_1/ON,     3.30  ,    80.00  ,  30.0,  -1.0, 31, QF, 307, 311, F4, 736.4228252  , 1
 1219, QC3/2_3,    0.700V ,    0.700V ,  30.0,  30.0, 1, Q, 309, 306, F4, 2.0378979V , 1
 1220, QC3/3_2_1/ON,     3.00  ,    80.00  ,  30.0,  -1.0, 31, QF, 306, 309, F4, 782.4390492  , 1
