1,425,IPS3_15IRH_I513420,6783001SU2,20260722,152450,F,0,2,,FFPFFPPPPPNN,1,F,4,20260722,152437,0,,,0,0,12.34 sec

 1909, UB2_1_4,    0.771V ,    0.771V ,  68.0,  74.0, 2, U, 321, 454, B2, 2.1160664V , 1
 1911, UE1_1_35/,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 35, B2, 2.0374751V , 1
 1914, UE1_5_35,    0.862V ,    0.862V ,  50.0,  76.0, 2, U, 321, 300, B2, 2.2079688V , 1
 1915, UE1_6_35,    0.768V ,    0.768V ,  69.0,  73.0, 2, U, 321, 468, B2, 2.1107260V , 1
 1916, UE1_7_35,    0.749V ,    0.749V ,  73.0,  73.0, 2, U, 321, 482, B2, 2.0906398V , 1
 1917, UE1_8_35,    0.864V ,    0.864V ,  50.0,  76.0, 2, U, 321, 302, B2, 2.2079688V , 1
 1919, UE1_13_35,    0.819V ,    0.819V ,  58.0,  75.0, 2, U, 321, 808, B2, 2.1642096V , 1
 1920, UE1_14_35/,    0.616V ,    0.616V ,  90.0,  67.0, 2, U, 321, 293, B2, 1.9590433V , 1
 1923, UE1_18_35,    0.747V ,    0.747V ,  74.0,  73.0, 2, U, 321, 485, B2, 2.0908789V , 1
 1924, UE1_19_35,    0.764V ,    0.764V ,  70.0,  73.0, 2, U, 321, 484, B2, 2.1058639V , 1
 1925, UE1_20_35,    0.622V ,    0.622V ,  90.0,  67.0, 2, U, 321, 140, B2, 1.9643039V , 1
 1928, UE1_25_35,    0.717V ,    0.717V ,  81.0,  72.0, 2, U, 321, 140, B2, 2.0620249V , 1
 1930, UE1_27_35,    0.692V ,    0.692V ,  87.0,  71.0, 2, U, 321, 338, B2, 2.0376345V , 1
 1933, UE1_30_35,    0.679V ,    0.679V ,  90.0,  70.0, 2, U, 321, 221, B2, 2.0226496V , 1
 1934, UE1_36_35,    0.733V ,    0.733V ,  77.0,  72.0, 2, U, 321, 44, B2, 2.0766911V , 1
 1935, UE1_38_35,    0.493V ,    0.493V ,  90.0,  59.0, 2, U, 321, 305, B2, 1.8374898V , 1
 1938, UE1_43_35,    0.750V ,    0.750V ,  73.0,  73.0, 2, U, 321, 88, B2, 2.0960599V , 1
 1940, UE1_47_35/,    0.809V ,    0.809V ,  60.0,  75.0, 2, U, 321, 298, B2, 2.1544853V , 1
 1941, UE1_48_35,    0.747V ,    0.747V ,  74.0,  73.0, 2, U, 321, 42, B2, 2.0907992V , 1
 1945, UE1_55_35,    0.764V ,    0.764V ,  70.0,  73.0, 2, U, 321, 325, B2, 2.1061827V , 1
 1946, UE1_58_35,    0.859V ,    0.859V ,  51.0,  76.0, 2, U, 321, 312, B2, 2.2028675V , 1
 1950, UE1_65_35/,    0.810V ,    0.810V ,  60.0,  75.0, 2, U, 321, 304, B2, 2.1548041V , 1
 1952, UE1_68_35,    0.606V ,    0.606V ,  90.0,  67.0, 2, U, 321, 314, B2, 1.9493987V , 1
 1953, UE1_69_35,    0.657V ,    0.657V ,  90.0,  69.0, 2, U, 321, 327, B2, 2.0034402V , 1
 1954, UE1_70_35,    0.657V ,    0.657V ,  90.0,  69.0, 2, U, 321, 217, B2, 2.0029619V , 1
 1955, UE1_71_35,    0.744V ,    0.744V ,  74.0,  73.0, 2, U, 321, 343, B2, 2.0861762V , 1
 1956, UE1_73_35/,    0.714V ,    0.714V ,  81.0,  72.0, 2, U, 321, 307, B2, 2.0574019V , 1
 1958, UE1_75_35/,    0.746V ,    0.746V ,  74.0,  73.0, 2, U, 321, 469, B2, 2.0912775V , 1
 1960, UE1_77_35,    0.658V ,    0.658V ,  90.0,  69.0, 2, U, 321, 329, B2, 2.0030416V , 1
 1961, UE1_78_35,    0.657V ,    0.657V ,  90.0,  69.0, 2, U, 321, 382, B2, 2.0035199V , 1
 1962, UE1_79_35,    0.638V ,    0.638V ,  90.0,  68.0, 2, U, 321, 38, B2, 1.9831945V , 1
 1967, UE1_84_35/,    0.880V ,    0.880V ,  47.0,  77.0, 2, U, 321, 303, B2, 2.2227943V , 1
 1968, UE1_85_35/,    0.745V ,    0.745V ,  74.0,  73.0, 2, U, 321, 475, B2, 2.0907992V , 1
 1969, UE1_86_35/,    0.749V ,    0.749V ,  73.0,  73.0, 2, U, 321, 466, B2, 2.0912775V , 1
 1970, UE1_87_35/,    0.867V ,    0.867V ,  49.0,  76.0, 2, U, 321, 315, B2, 2.2128309V , 1
 1971, UE1_88_35,    0.657V ,    0.657V ,  90.0,  69.0, 2, U, 321, 377, B2, 2.0027228V , 1
 1972, UE1_89_35,    0.662V ,    0.662V ,  90.0,  69.0, 2, U, 321, 378, B2, 2.0079835V , 1
 1973, UE1_92_35,    0.880V ,    0.880V ,  47.0,  77.0, 2, U, 321, 301, B2, 2.2227943V , 1
 1974, UE1_94_35/,    0.867V ,    0.867V ,  49.0,  76.0, 2, U, 321, 306, B2, 2.2129107V , 1
 1975, UE1_95_35/,    0.746V ,    0.746V ,  74.0,  73.0, 2, U, 321, 449, B2, 2.0907195V , 1
 1976, UE1_97_35/,    0.747V ,    0.747V ,  74.0,  73.0, 2, U, 321, 464, B2, 2.0907992V , 1
 1977, UE1_98_35/,    0.749V ,    0.749V ,  73.0,  73.0, 2, U, 321, 471, B2, 2.0911978V , 1
 1978, UE1_100_35/,    0.778V ,    0.778V ,  60.0,  75.0, 2, U, 321, 460, B2, 2.1202909V , 1
 1979, UE1_101_35/,    0.772V ,    0.772V ,  74.0,  73.0, 2, U, 321, 460, B2, 2.1159070V , 1
 1980, UE1_102_35/,    0.747V ,    0.747V ,  73.0,  73.0, 2, U, 321, 460, B2, 2.0913572V , 1
 1981, UE1_103_35/,    0.820V ,    0.820V ,  58.0,  75.0, 2, U, 321, 97, B2, 2.1642893V , 1
 1982, UE1_104_35/,    0.820V ,    0.820V ,  58.0,  75.0, 2, U, 321, 706, B2, 2.1646081V , 1
 1983, UE1_105_35,    0.756V ,    0.756V ,  71.0,  73.0, 2, U, 321, 634, B2, 2.1005235V , 1
 1985, UE1_108_35,    0.817V ,    0.817V ,  59.0,  75.0, 2, U, 321, 29, B2, 2.1591880V , 1
 1987, UE1_110_35/,    0.748V ,    0.748V ,  73.0,  73.0, 2, U, 321, 463, B2, 2.0908789V , 1
 1989, UE1_112_35/,    0.748V ,    0.748V ,  73.0,  73.0, 2, U, 321, 451, B2, 2.0907992V , 1
 1990, UE1_113_35,    0.749V ,    0.749V ,  73.0,  73.0, 2, U, 321, 155, B2, 2.0908789V , 1
 1991, UE1_114_35,    0.746V ,    0.746V ,  74.0,  73.0, 2, U, 321, 617, B2, 2.0911978V , 1
 1992, UE1_115_35/,    0.747V ,    0.747V ,  74.0,  73.0, 2, U, 321, 456, B2, 2.0912775V , 1
 1993, UE1_117_35,    0.755V ,    0.755V ,  72.0,  73.0, 2, U, 321, 143, B2, 2.1006829V , 1
 1994, UE1_118_35,    0.817V ,    0.817V ,  59.0,  75.0, 2, U, 321, 496, B2, 2.1594271V , 1
 1996, UE1_121_35,    0.817V ,    0.817V ,  59.0,  75.0, 2, U, 321, 323, B2, 2.1592677V , 1
 1997, UE1_122_35/,    0.860V ,    0.860V ,  51.0,  76.0, 2, U, 321, 317, B2, 2.2033458V , 1
 1999, UE1_124_35/,    0.748V ,    0.748V ,  73.0,  73.0, 2, U, 321, 458, B2, 2.0910384V , 1
 2000, UE1_125_35/,    0.748V ,    0.748V ,  73.0,  73.0, 2, U, 321, 458, B2, 2.0911181V , 1
