1,1011,M75S_5_APH_REV1,6783000D2P,20260707,162451,F,1,1,,FFPFFPPPPPNN,1,F,3,20260707,162440,0,,,0,0

 256, RSD39,    10.00K ,    10.00K ,  20.0,  20.0, 2, R, 809, 764, A1, 1849.9994140K , 1
 738, RSI52,    0.000  ,    1.000  ,  10.0,  10.0, 0, J, 764, 104, A1, 4.0000000  , 1
 1375, CCOM2,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 1103, A1, 0.1207948nF, 1
 2013, CSD61,   100.00nF,   100.00nF,  20.0,  30.0, 0, C, 576, 764, A1, 0.0795054nF, 1
 3249, USD4_3_5/,    0.650V ,    0.650V ,  90.0,  69.0, 2, U, 576, 764, B2, 1.9962838V , 1

Open < 764> < 104  764 > -> <764>-EC_M2SSD1_PWR_EN Parts:USD4.3; <104>-EC_GP64 Parts:USI1.51
