1,30,M75S_5_APH_REV1,6783000B53,20260703,195627,F,1,1,,FPPFPPPPPPNN,1,F,3,20260703,195619,0,,,0,0

 2627, DFAN7:2-1,    0.335V ,    0.335V ,  10.0,  10.0, 0, D, 190, 560, A1, 0.3005035V , 1
 2629, DFAN8:2-1,    0.337V ,    0.337V ,  10.0,  10.0, 0, D, 1131, 560, A1, 0.3025311V , 1
 2630, DFAN8:3-1,    0.337V ,    0.337V ,  10.0,  10.0, 0, D, 1132, 560, A1, 0.3021932V , 1
