1,100,N50Q_5,6783001XUZ,20260723,131926,F,1,1,,FPPFFPPPPPNN,1,F,3,20260723,131915,0,,,0,0

 707, RC208,    1.000K ,    1.000K ,  10.0,  10.0, 2, R, 776, 725, F3, 0.8647496K , 1
 1415, CU459,   100.00nF,   100.00nF,  40.0,  80.0, 11, C, 469, 490, E1, 0.1090617nF, 1
 3121, DUS4_2_3,    0.777V ,    0.777V ,  35.0,  35.0, 2, U, 1, 490, A1, 2.1247399V , 1
 3122, DUS4_10_3,    0.779V ,    0.779V ,  35.0,  35.0, 2, U, 1, 490, A1, 2.1290466V , 1
 3123, DUS4_2_1,    0.956V ,    0.956V ,  85.0,  85.0, 2, U, 490, 489, A1, 2.3058761V , 1
 3124, DUS4_10_1,    0.956V ,    0.956V ,  85.0,  85.0, 2, U, 490, 489, A1, 2.3057916V , 1
