1,481,V14V15_GEN5_IRL,6783001XHX,20260724,120256,F,0,1,,FPPFPPPPPPNN,1,F,2,20260724,120248,0,,,0,0

 510, RC64,    75.00K ,    65.00K ,  30.0,  30.0, 2, R, 1, 77, C4, 42.1089689K , 1
 552, RC212,   100.00K ,   100.00K ,  20.0,  20.0, 2, R, 17, 621, D2, 78.8806970K , 1
 611, RN2,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 20, 270, B5, 56.6935525K , 1
