1,338,IPS3_15IRH_I513420,6783000Y2A,20260714,154717,F,0,2,,FPPFPPPPPPNN,1,F,4,20260714,154704,0,,,0,0,12.45 sec

 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 13226.7596582uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 202.0282759uF, 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 15814.0026000uF, 1
