1,5,ips5_14_agp11_AMD,678300055E,20260714,094137,F,1,1,,FPPFFPPPPPNN,1,F,3,20260714,094129,0,,,0,0

 2330, Q8006_1_SG/R8027,    0.700V ,    1.000V ,  30.0,  30.0, 3, Q, 260, 264, A1, 1.9325683V , 1
 2667, J8402_4_5,    0.482V ,    0.482V ,  90.0,  58.0, 2, U, 435, 349, A1, 1.8263992V , 1
 2845, J8001_2_1,    1.013V ,    1.013V ,  28.0,  80.0, 2, U, 435, 405, A1, 2.3419601V , 1
 2846, J8001_3_1,    1.024V ,    1.024V ,  26.0,  80.0, 2, U, 435, 406, A1, 2.3577775V , 1
 2847, J8001_4_1,    1.018V ,    1.018V ,  27.0,  80.0, 2, U, 435, 404, A1, 2.3297225V , 1
 2848, J8001_5_1,    1.015V ,    1.015V ,  28.0,  80.0, 2, U, 435, 402, A1, 2.3303885V , 1
