1,2,N50Q_5,6783000Y8A,20260714,121309,F,0,1,,FFPFFPPPPPNN,1,F,3,20260714,121250,0,,,0,0

 750, RC347,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 355, C3, 26.8139114K , 1
 759, RC1378,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 13, 380, C5, 199999999999.9994202K , 1
 761, RC1381,    20.00K ,    20.00K ,  10.0,  10.0, 2, R, 13, 347, C3, 24422.6394187K , 1
 822, RH160,   100.00K ,   100.00K ,  10.0,  10.0, 2, R, 13, 357, C4, 199999999999.9994202K , 1
 894, RSI51,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 13, 3241, A3, 1850.1994187K , 1
 924, RSPI35/RSPI43,    33.00  ,    43.00  ,  10.0,  10.0, 2, R, 357, 358, C4, 12334.0853555  , 1
 931, RSQ14,    4.700K ,    4.700K ,  10.0,  10.0, 2, R, 378, 377, C5, 672.7994187K , 1
 935, RSQ47,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 3, 384, C5, 4439.8986888  , 1
 936, RSQ48,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 13, 385, C6, 48844.6986888  , 1
 938, RSQ50,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 14, 383, C5, 8421.0186888  , 1
 939, RSQ51,   120.00  ,   120.00  ,  10.0,  10.0, 2, R, 1163, 389, C6, 48844.6986888  , 1
 942, RSQ54,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 1158, 386, C5, 1480.1594187K , 1
 943, RSQ55,    10.00K ,    10.00K ,  10.0,  10.0, 2, R, 1158, 390, C6, 1480.1594187K , 1
 946, RSQ61,    20.00K ,    20.00K ,  10.0,  10.0, 2, R, 1158, 391, D7, 4884.5274187K , 1
 982, RTM8,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 3219, 356, C4, 7400.2186888  , 1
 983, RTM9,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 3223, 368, C4, 7400.2186888  , 1
 984, RTM10/RSPI41,    33.00  ,    43.00  ,  10.0,  10.0, 2, R, 371, 3221, C4, 14801.0186888  , 1
 1040, CA54/CA34,    22.00uF,    45.20uF,  20.0,  20.0, 4, C, 1, 392, D7, 99999.0000000uF, 1
 1089, CC1558,   100.00pF,   100.00pF,  80.0,  80.0, 2, C, 1, 433, C4, 581.1007011pF, 1
 1479, CS5,   100.00nF,   100.00nF,  80.0,  80.0, 0, C, 1, 381, B5, 0.1233173nF, 1
 1481, PC730,   100.00pF,   100.00pF,  20.0,  20.0, 2, C, 1, 1155, G2, 78.6451542pF, 1
 1486, CSQ13,   220.00nF,   220.00nF,  20.0,  20.0, 0, C, 391, 1, D7, 0.1075050nF, 1
 1504, CU471,   100.00nF,   100.00nF,  35.0,  35.0, 11, C, 284, 291, B1, 0.0960028nF, 1
 1517, CA44,    4.700uF,    4.700uF,  80.0,  80.0, 4, C, 394, 1097, D1, 99999.0000000uF, 1
 1560, PC1304,    10.00nF,    10.00nF,  20.0,  20.0, 0, C, 3244, 1, F6, 0.0318709nF, 1
 1575, DC1,    0.382V ,    0.382V ,  30.0,  30.0, 1, D, 365, 853, C4, 1.7223645V , 1
 1576, DC3/1_2,    0.393V ,    0.393V ,  30.0,  30.0, 1, D, 979, 387, C4, 1.5135188V , 1
