1,6,IPS5_RYZEN5,67830023UQ,20260724,160938,F,0,1,,FPPFPPPPPPNN,1,F,4,20260724,160912,0,,,0,0

 834, C4301,   100.00uF,    12.70uF,  30.0,  30.0, 4, C, 587, 150, A1, 16.5771538uF, 1
 837, C4304,   100.00uF,    12.00uF,  30.0,  30.0, 0, C, 587, 150, A1, 15.6982630uF, 1
 844, C4314,   100.00uF,    12.00uF,  30.0,  30.0, 0, C, 587, 150, A1, 15.7088545uF, 1
