1,18,IPS3_15IRH_I513420,6783001DPS,20260720,071200,F,0,1,,FPPFPPPPPPNN,1,F,4,20260720,071144,0,,,0,0,16.21 sec

 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 99999.9000000uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 161819.8777364uF, 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 99999.9000000uF, 1
