1,30,IPS3_15ARP10_4511UV12208,6783000S6P,20260710,131655,F,0,2,,FPPFFPPPPPNN,1,F,3,20260710,131646,0,,,0,0,8.84 sec

 244, RC959,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 132, 138, D2, 4.0000000  , 1
 312, RI813,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 40, 11, A4, 4.0000000  , 1
 1476, PU1001_25_61/,    0.628V ,    0.628V ,  30.0,  30.0, 2, U, 1, 31, A1, 1.9740072V , 1
 1653, UC1_742_1,    0.457V ,    0.457V ,  30.0,  30.0, 2, U, 1, 214, A1, 1.8033628V , 1
 1756, UC1_742_952,    0.508V ,    0.508V ,  30.0,  30.0, 2, U, 214, 22, A1, 1.8522208V , 1
