// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight
FAIL,1,85,N50Q_5,67830002A9,20260702,083436,F,0,1,,FPPFPPPPPPNN,1,F,2,20260702,083425,0,,,0,0,11.91 sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, HLim, LLim, Mode, Type, HPin, LPin, Loc, Msr_V, Result
 639, RC14,    33.00  ,    33.00  ,  10.0,  10.0, 2, R, 1036, 167, D5, 36.4142856  , 1
 1788, QLED3/1_6,    0.773V ,    0.773V ,  20.0,  20.0, 1, Q, 1, 1137, G1, 2.1201030V , 1
 1789, QLED3/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 1137, 1, G1, 107538.7659074  , 1
 1791, QLED3/4_3,    0.775V ,    0.775V ,  20.0,  20.0, 1, Q, 1, 1139, G1, 2.1253634V , 1
 1792, QLED3/ON,     3.00  ,    40.00  ,  20.0,  -1.0, 31, QF, 1139, 1, G1, 122964.7749511  , 1
