1,379,IPS3_15IRH_I513420,6783001UUX,20260723,101126,F,0,1,,FPPFPPPPPPNN,1,F,4,20260723,101118,0,,,0,0,7.51 sec

 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 406.0805233uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 181.1175522uF, 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 584.4792571uF, 1
