1,13,N30S5_i3,6783000RS3,20260713,143909,F,1,1,,FPPFFPPPPPNN,1,F,4,20260713,143858,0,,,0,0

 1401, SC29,    2.200nF,    2.200nF,  30.0,  30.0, 0, C, 404, 972, A1, 0.0000000nF, 1
 2390, SU1_87_6,    0.617V ,    0.617V ,  90.0,  67.0, 24, U, 429, 404, B2, 1.9620364V , 1
 2423, SU1_121_6,    0.718V ,    0.718V ,  81.0,  72.0, 24, U, 429, 139, B2, 2.0647502V , 1
 2426, SU1_124_6,    0.721V ,    0.721V ,  80.0,  72.0, 24, U, 429, 139, B2, 2.0701562V , 1
 2491, SU1_87_3,    0.581V ,    0.581V ,  90.0,  65.0, 24, U, 404, 924, B2, 1.9284179V , 1
