1,25,IPS3_15IRH_I513420,6783000Y1D,20260714,122358,F,0,2,,FPPFPPPPPPNN,1,F,4,20260714,122345,0,,,0,0,12.64 sec

 500, PC1202/PC1212-NP,     2.20uF,   148.00uF,  20.0,  20.0, 4, C, 321, 577, A1, 32492.3355138uF, 1
 902, PC5601/PC5613-NP,     2.20uF,   146.00uF,  20.0,  20.0, 8, C, 321, 36, A1, 233.4215172uF, 1
 1725, PC1647/PC1648,     2.20uF,   150.00uF,  20.0,  20.0, 4, C, 321, 796, A1, 42223.3352640uF, 1
