1,1375,IPS3_15IRH_I513420,678300146N,20260714,220941,F,0,0,,FPPPFPPPPPNN,1,F,4,20260714,220935,0,,,0,0,6.29 sec

 2042, PU1000_1_53,    0.635V ,    0.635V ,  90.0,  68.0, 2, U, 321, 171, B2, 1.9787522V , 1
 2043, PU1000_3_53,    0.635V ,    0.635V ,  90.0,  68.0, 2, U, 321, 169, B2, 1.9781942V , 1
 2044, PU1000_5_53,    0.675V ,    0.675V ,  90.0,  70.0, 2, U, 321, 167, B2, 2.0003539V , 1
 2045, PU1000_8_53,    0.676V ,    0.676V ,  90.0,  70.0, 2, U, 321, 166, B2, 2.0009119V , 1
 2046, PU1000_9_53,    0.605V ,    0.605V ,  90.0,  66.0, 2, U, 321, 654, B2, 1.9495778V , 1
 2061, PU1000_32_53,    0.686V ,    0.686V ,  89.0,  70.0, 2, U, 321, 708, B2, 2.0295282V , 1
 2062, PU1000_33_53,    0.690V ,    0.690V ,  88.0,  71.0, 2, U, 321, 101, B2, 2.0321587V , 1
 2063, PU1000_35_53,    0.637V ,    0.637V ,  90.0,  68.0, 2, U, 321, 101, B2, 1.9783536V , 1
 2064, PU1000_38_53,    0.679V ,    0.679V ,  90.0,  70.0, 2, U, 321, 172, B2, 1.9970060V , 1
 2070, PU1000_48_53,    0.691V ,    0.691V ,  88.0,  71.0, 2, U, 321, 175, B2, 2.0087236V , 1
