1,442,V14V15_GEN5_IRL,6783001X9A,20260724,113602,F,0,1,,FPPFPPPPPPNN,1,F,2,20260724,113555,0,,,0,0

 511, RC65,   100.00K ,    90.00K ,  30.0,  50.0, 2, R, 1, 3219, D2, 43.7538736K , 1
 558, RC222,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 1, 264, C4, 67.5925127K , 1
 611, RN2,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 20, 270, B5, 62.7258093K , 1
