1,1,V14V15_GEN5_IRL,6783001JF2,20260723,070034,F,1,1,,FPPFPPPPPPNN,1,F,2,20260723,070028,0,,,0,0

 19, JEDP1_SWP,    1.000  ,    1.000  ,  10.0,  10.0, 2, J, 666, 661, G4, 4.0000000  , 1
 482, RB25,    15.00  ,    15.00  ,  20.0,  20.0, 2, R, 3210, 3275, B2, 18.1397688  , 1
 1226, QE2/3_2_1/ON,     1.50  ,    39.00  ,  30.0,  -1.0, 31, QF, 631, 1, A4, 106.7505311  , 1
